Role,Category,Skills,Description
Data Scientist,AI,"Python,SQL,Machine Learning,Statistics,Pandas,Scikit-Learn","Analyze and model data"
AI Engineer,AI,"Python,TensorFlow,PyTorch,Deep Learning,Docker","Build AI systems"
Machine Learning Engineer,AI,"Python,TensorFlow,PyTorch,Docker,AWS","Deploy ML models"
Data Analyst,Data,"Excel,SQL,Python,Power BI,Statistics","Business analytics"
Data Engineer,Data,"Python,SQL,Spark,AWS,ETL","Data pipelines"
Backend Developer,Backend,"Java,SQL,Git,APIs,Data Structures","Server-side development"
Software Engineer,Backend,"Python,Java,Algorithms,Git","Software development"
Full Stack Developer,Web,"JavaScript,React,Node.js,SQL,Git","Web applications"
Frontend Developer,Web,"JavaScript,React,HTML,CSS,Git","Frontend applications"
DevOps Engineer,Cloud,"AWS,Docker,Kubernetes,Linux,CI/CD","Infrastructure automation"
Cloud Engineer,Cloud,"AWS,Docker,Kubernetes,Terraform,Linux","Cloud solutions"
Cloud Architect,Cloud,"AWS,Azure,Terraform,Docker,Kubernetes","Cloud architecture"
Site Reliability Engineer,Cloud,"Linux,Docker,Kubernetes,Monitoring,CI/CD","System reliability"
Cybersecurity Analyst,Security,"Linux,Networking,Security,Python,Wireshark","Security operations"
Security Engineer,Security,"Python,Linux,Security,Cloud,Networking","Security engineering"
QA Engineer,Testing,"Testing,Selenium,Python,Automation","Quality assurance"
Mobile Developer,Mobile,"Java,Kotlin,Android,Git","Android apps"
iOS Developer,Mobile,"Swift,iOS,Xcode,Git","iOS applications"
Game Developer,Gaming,"C++,Unity,C#,Git","Game development"
Database Administrator,Data,"SQL,Oracle,Database,Tuning,Backup","Database management"