Role,Skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Pandas,Scikit-Learn"
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,PyTorch,Docker"
Backend Developer,"Java,SQL,APIs,Git,Data Structures"
DevOps Engineer,"AWS,Docker,Kubernetes,Linux,CI/CD"
Data Analyst,"Excel,SQL,Python,Power BI,Statistics"
Cloud Engineer,"AWS,Docker,Kubernetes,Linux,Terraform"
Full Stack Developer,"JavaScript,React,Node.js,SQL,Git"
AI Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,Docker"
Cybersecurity Analyst,"Linux,Networking,Security,Python,Wireshark"
Software Engineer,"Python,Java,Git,Data Structures,Algorithms"